tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres
tt1535108,movie,Elysium,Elysium,0,2013,\N,109,"Action,Drama,Sci-Fi"
tt1535109,movie,Captain Phillips,Captain Phillips,0,2013,\N,134,"Action,Biography,Crime"
tt1540133,movie,The Guard,The Guard,0,2011,\N,96,"Comedy,Crime,Thriller"
tt1542344,movie,127 Hours,127 Hours,0,2010,\N,94,"Biography,Drama"
tt1560747,movie,The Master,The Master,0,2012,\N,138,"Drama,History"
tt1568346,movie,The Girl with the Dragon Tattoo,The Girl with the Dragon Tattoo,0,2011,\N,158,"Crime,Drama,Mystery"
tt1568911,movie,War Horse,War Horse,0,2011,\N,146,"Action,Adventure,Drama"
tt1570728,movie,"Crazy, Stupid, Love.","Crazy, Stupid, Love.",0,2011,\N,118,"Comedy,Drama,Romance"
tt1583420,movie,Larry Crowne,Larry Crowne,0,2011,\N,98,"Comedy,Drama,Romance"
tt1586752,movie,Machine Gun Preacher,Machine Gun Preacher,0,2011,\N,129,"Action,Biography,Crime"
tt1587310,movie,Maleficent,Maleficent,0,2014,\N,97,"Action,Adventure,Drama"
tt1588334,movie,"Jeff, Who Lives at Home","Jeff, Who Lives at Home",0,2011,\N,83,"Comedy,Drama"
tt1588398,movie,Sleeping Beauty,Sleeping Beauty,0,2011,\N,101,"Drama,Mystery,Romance"
tt1591095,movie,Insidious,Insidious,0,2010,\N,103,"Horror,Mystery,Thriller"
tt1592281,movie,Take This Waltz,Take This Waltz,0,2011,\N,116,"Comedy,Drama"
tt1596345,movie,Pawn Sacrifice,Pawn Sacrifice,0,2014,\N,115,"Biography,Drama,History"
tt1596363,movie,The Big Short,The Big Short,0,2015,\N,130,"Biography,Comedy,Drama"
tt1599348,movie,Safe House,Safe House,0,2012,\N,115,"Action,Thriller"
tt1600196,movie,The Drop,The Drop,0,2014,\N,106,"Crime,Drama,Thriller"
tt1601913,movie,The Grey,The Grey,0,2011,\N,117,"Action,Adventure,Drama"
tt1602613,movie,Only God Forgives,Only God Forgives,0,2013,\N,90,"Action,Crime,Drama"
tt1602620,movie,Amour,Amour,0,2012,\N,127,Drama
tt1605783,movie,Midnight in Paris,Midnight in Paris,0,2011,\N,94,"Comedy,Fantasy,Romance"
tt1606392,movie,Win Win,Win Win,0,2011,\N,106,"Comedy,Drama,Sport"
tt1615147,movie,Margin Call,Margin Call,0,2011,\N,107,"Drama,Thriller"
tt1622547,movie,30 Minutes or Less,30 Minutes or Less,0,2011,\N,83,"Action,Comedy,Crime"
tt1623288,movie,ParaNorman,ParaNorman,0,2012,\N,92,"Adventure,Animation,Comedy"
tt1625346,movie,Young Adult,Young Adult,0,2011,\N,94,"Comedy,Drama"
tt1632708,movie,Friends with Benefits,Friends with Benefits,0,2011,\N,109,"Comedy,Romance"
tt1633356,movie,Shark Night,Shark Night 3D,0,2011,\N,90,"Action,Horror,Thriller"
tt1637688,movie,In Time,In Time,0,2011,\N,109,"Action,Sci-Fi,Thriller"
tt1637725,movie,Ted,Ted,0,2012,\N,106,Comedy
tt1640548,movie,Rampart,Rampart,0,2011,\N,108,"Crime,Drama"
tt1645131,movie,Romeo & Juliet,Romeo & Juliet,0,2013,\N,118,"Drama,Romance"
tt1646971,movie,How to Train Your Dragon 2,How to Train Your Dragon 2,0,2014,\N,102,"Action,Adventure,Animation"
tt1650062,movie,Super 8,Super 8,0,2011,\N,112,"Action,Mystery,Sci-Fi"
tt1655420,movie,My Week with Marilyn,My Week with Marilyn,0,2011,\N,99,"Biography,Drama"
tt1655460,movie,Wanderlust,Wanderlust,0,2012,\N,98,"Comedy,Romance"
tt1656186,movie,Stolen,Stolen,0,2012,\N,96,"Action,Crime,Thriller"
tt1657507,movie,Colombiana,Colombiana,0,2011,\N,108,"Action,Crime,Drama"
tt1659337,movie,The Perks of Being a Wallflower,The Perks of Being a Wallflower,0,2012,\N,103,Drama
tt1663202,movie,The Revenant,The Revenant,0,2015,\N,156,"Action,Adventure,Drama"
tt1663655,movie,Martyrs,Martyrs,0,2015,\N,86,"Drama,Horror,Thriller"
tt1663662,movie,Pacific Rim,Pacific Rim,0,2013,\N,131,"Action,Adventure,Sci-Fi"
tt1670345,movie,Now You See Me,Now You See Me,0,2013,\N,115,"Crime,Mystery,Thriller"
tt1675192,movie,Take Shelter,Take Shelter,0,2011,\N,120,"Drama,Thriller"
tt1690953,movie,Despicable Me 2,Despicable Me 2,0,2013,\N,98,"Adventure,Animation,Comedy"
tt1691920,movie,I Melt with You,I Melt with You,0,2011,\N,129,Drama
tt1700845,movie,The Invisible Woman,The Invisible Woman,0,2013,\N,111,"Biography,Drama,History"
tt1706593,movie,Chronicle,Chronicle,0,2012,\N,84,"Action,Drama,Sci-Fi"
tt1706620,movie,Snowpiercer,Snowpiercer,0,2013,\N,126,"Action,Drama,Sci-Fi"
tt1707386,movie,Les Misérables,Les Misérables,0,2012,\N,158,"Drama,Musical,Romance"
tt1714206,movie,The Spectacular Now,The Spectacular Now,0,2013,\N,95,"Drama,Romance"
tt1716777,movie,People Like Us,People Like Us,0,2012,\N,114,"Comedy,Drama"
tt1723811,movie,Shame,Shame,0,2011,\N,101,Drama
tt1726669,movie,Killer Joe,Killer Joe,0,2011,\N,102,"Crime,Drama,Thriller"
tt1735898,movie,Snow White and the Huntsman,Snow White and the Huntsman,0,2012,\N,127,"Action,Adventure,Drama"
tt1742334,movie,Sabotage,Sabotage,0,2014,\N,109,"Action,Crime,Drama"
tt1748122,movie,Moonrise Kingdom,Moonrise Kingdom,0,2012,\N,94,"Adventure,Comedy,Drama"
tt1748179,movie,Red Lights,Red Lights,0,2012,\N,114,"Drama,Fantasy,Mystery"
tt1748227,movie,The Collection,The Collection,0,2012,\N,82,"Action,Horror,Thriller"
tt1758830,movie,This Is 40,This Is 40,0,2012,\N,134,"Comedy,Drama,Romance"
tt1763264,movie,No One Lives,No One Lives,0,2012,\N,86,"Horror,Thriller"
tt1764183,movie,Arbitrage,Arbitrage,0,2012,\N,107,"Drama,Thriller"
tt1764234,movie,Killing Them Softly,Killing Them Softly,0,2012,\N,97,"Crime,Drama,Thriller"
tt1764651,movie,The Expendables 2,The Expendables 2,0,2012,\N,103,"Action,Adventure,Thriller"
tt1772240,movie,Apollo 18,Apollo 18,0,2011,\N,86,"Horror,Mystery,Sci-Fi"
tt1772288,movie,Danny Collins,Danny Collins,0,2015,\N,106,"Comedy,Drama,Music"
tt1772341,movie,Wreck-It Ralph,Wreck-It Ralph,0,2012,\N,101,"Adventure,Animation,Comedy"
tt1781769,movie,Anna Karenina,Anna Karenina,0,2012,\N,129,"Drama,Romance"
tt1781782,movie,Boy Who Never Slept,Boy Who Never Slept,0,2006,\N,70,"Comedy,Romance"
tt1781922,movie,No Escape,No Escape,0,2015,\N,103,"Action,Thriller"
tt1790864,movie,The Maze Runner,The Maze Runner,0,2014,\N,113,"Action,Mystery,Sci-Fi"
tt1790885,movie,Zero Dark Thirty,Zero Dark Thirty,0,2012,\N,157,"Drama,History,Thriller"
tt1791528,movie,Inherent Vice,Inherent Vice,0,2014,\N,148,"Comedy,Crime,Drama"
tt1791682,movie,While We're Young,While We're Young,0,2014,\N,97,"Comedy,Drama,Mystery"
tt1798684,movie,Southpaw,Southpaw,0,2015,\N,124,"Action,Drama,Sport"
tt1798709,movie,Her,Her,0,2013,\N,126,"Drama,Romance,Sci-Fi"
tt1800241,movie,American Hustle,American Hustle,0,2013,\N,138,"Crime,Drama"
tt1817273,movie,The Place Beyond the Pines,The Place Beyond the Pines,0,2012,\N,140,"Crime,Drama,Thriller"
tt1821549,movie,Nebraska,Nebraska,0,2013,\N,115,Drama
tt1826590,movie,About Last Night,About Last Night,0,2014,\N,100,"Comedy,Romance"
tt1828970,movie,Evidence,Evidence,0,2013,\N,94,"Crime,Horror,Mystery"
tt1837703,movie,The Fifth Estate,The Fifth Estate,0,2013,\N,128,"Biography,Crime,Drama"
tt1853739,movie,You're Next,You're Next,0,2011,\N,95,"Drama,Horror,Mystery"
tt1855199,movie,End of Watch,End of Watch,0,2012,\N,109,"Action,Crime,Drama"
tt1855325,movie,Resident Evil: Retribution,Resident Evil: Retribution,0,2012,\N,95,"Action,Horror,Sci-Fi"
tt1862079,movie,Safety Not Guaranteed,Safety Not Guaranteed,0,2012,\N,86,"Adventure,Comedy,Drama"
tt1866249,movie,The Sessions,The Sessions,0,2012,\N,95,"Biography,Comedy,Drama"
tt1870419,movie,Hatchet III,Hatchet III,0,2013,\N,81,"Action,Comedy,Horror"
tt1872194,movie,The Judge,The Judge,0,2014,\N,141,"Crime,Drama,Mystery"
tt1876451,movie,Sparkle,Sparkle,0,2012,\N,116,"Drama,Music"
tt1895587,movie,Spotlight,Spotlight,0,2015,\N,129,"Biography,Crime,Drama"
tt1907668,movie,Flight,Flight,0,2012,\N,138,"Drama,Thriller"
tt1909807,movie,My Pure Joy,My Pure Joy,0,2011,\N,100,"Comedy,Drama,Horror"
tt1921064,movie,Pompeii,Pompeii,0,2014,\N,105,"Action,Adventure,Drama"
tt1922777,movie,Sinister,Sinister,0,2012,\N,110,"Horror,Mystery,Thriller"
tt1929263,movie,Heaven Is for Real,Heaven Is for Real,0,2014,\N,99,"Biography,Drama,Family"
tt1931533,movie,Seven Psychopaths,Seven Psychopaths,0,2012,\N,110,"Comedy,Crime"
tt1935179,movie,Mud,Mud,0,2012,\N,130,"Adventure,Drama"
tt1939659,movie,Carrie,Carrie,0,2013,\N,100,"Drama,Horror,Thriller"
tt1945084,movie,Everly,Everly,0,2014,\N,92,"Action,Thriller"
tt1959490,movie,Noah,Noah,0,2014,\N,138,"Action,Adventure,Drama"
tt1967545,movie,Labor Day,Labor Day,0,2013,\N,111,"Drama,Romance,Thriller"
